
0,0,0,[-1;-1;-1;-1],[-1;-1;-1;-1],[128;153;28;88],[-1;-1;-1;-1],DOWN,[NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[40;60;80;100],0,3,220,,0,RIGHT,,0,120
1,1,0,[-1;-1;-1;-1],[-1;-1;-1;-1],[140;165;40;76],[-1;-1;-1;-1],RIGHT,[NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[28;48;68;88],30,3,217,,1,DOWN,,1,180
2,2,0,[130;-1;-1;-1],[130;-1;-1;-1],[165;140;76;40],[102;-1;-1;-1],RIGHT,[RIGHT;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[0;12;32;52],120,3,208,,2,UP,,2,100
3,3,0,[86;102;98;-1],[86;102;98;-1],[140;128;72;60],[102;97;102;-1],UP,[UP;LEFT;RIGHT;NEUTRAL],[0;0;0;0],[0;0;0;16],210,3,199,,3,LEFT,,3,90
4,4,0,[110;90;98;-1],[123;90;98;-1],[128;140;60;72],[102;97;102;-1],LEFT,[UP;LEFT;RIGHT;NEUTRAL],[0;0;0;0],[0;0;0;4],220,3,198,,4,DOWN,,4,80
5,5,0,[171;126;131;146],[171;126;131;146],[140;165;40;76],[102;97;102;102],DOWN,[LEFT;LEFT;UP;LEFT],[0;0;0;0],[0;0;0;0],300,3,190,,5,RIGHT,,5,30
6,6,0,[142;175;142;150],[142;175;142;150],[165;140;76;40],[102;97;102;102],RIGHT,[DOWN;RIGHT;DOWN;RIGHT],[0;0;0;0],[0;0;0;0],300,3,190,,6,DOWN,,6,200
7,7,0,[130;151;130;146],[130;151;130;146],[153;128;88;28],[102;97;102;102],RIGHT,[LEFT;DOWN;LEFT;UP],[0;0;0;0],[0;0;0;0],330,3,187,,7,LEFT,,7,200
8,8,0,[88;125;64;124],[88;125;64;124],[117;92;97;-1],[102;97;102;102],LEFT,[RIGHT;UP;RIGHT;RIGHT],[175;175;175;175],[0;0;0;0],500,3,175,,8,DOWN,,8,80
9,9,0,[98;130;70;130],[98;130;94;154],[129;104;96;-1],[102;97;102;102],LEFT,[RIGHT;UP;RIGHT;RIGHT],[163;163;163;163],[0;0;0;0],530,3,172,,9,DOWN,,9,50
10,10,0,[134;143;86;142],[150;159;102;158],[153;128;88;-1],[102;97;102;102],DOWN,[UP;LEFT;UP;DOWN],[139;139;139;139],[0;0;0;0],580,3,167,,10,DOWN,,10,30
11,11,0,[100;121;76;120],[100;121;76;120],[117;92;97;-1],[102;97;102;97],LEFT,[UP;UP;UP;LEFT],[87;87;87;87],[0;0;0;0],580,3,167,,11,UP,,11,60
12,12,0,[94;115;70;114],[94;115;70;114],[105;80;85;-1],[102;97;102;97],UP,[RIGHT;RIGHT;LEFT;LEFT],[75;75;75;75],[0;0;0;0],610,3,164,,12,DOWN,,12,40
13,13,0,[80;109;64;105],[80;109;64;105],[93;68;73;-1],[102;97;102;97],UP,[RIGHT;RIGHT;LEFT;LEFT],[63;63;63;63],[0;0;0;0],640,3,161,,13,RIGHT,,13,10
14,14,0,[92;71;102;85],[92;71;102;85],[68;93;48;-1],[102;97;102;97],RIGHT,[DOWN;DOWN;LEFT;UP],[38;38;38;38],[0;0;0;0],650,3,160,,14,RIGHT,,14,0
15,15,0,[92;63;57;91],[92;63;57;91],[80;105;84;-1],[102;97;97;97],RIGHT,[LEFT;RIGHT;LEFT;RIGHT],[2;2;2;2],[0;0;0;0],650,3,160,,15,LEFT,,15,10
16,16,0,[78;62;46;86],[78;62;46;86],[68;93;96;-1],[102;97;97;102],UP,[UP;UP;LEFT;RIGHT],[0;0;0;0],[0;0;0;0],650,3,160,,16,LEFT,,16,40
17,17,0,[79;86;46;79],[79;86;46;79],[44;69;72;-1],[102;102;97;102],LEFT,[RIGHT;RIGHT;UP;LEFT],[0;0;0;0],[0;0;0;0],660,3,159,,17,UP,,17,70
18,18,0,[55;79;46;66],[55;79;46;66],[32;57;84;-1],[102;102;97;102],UP,[DOWN;RIGHT;LEFT;DOWN],[0;0;0;0],[0;0;0;0],690,3,156,,18,DOWN,,18,80
19,19,0,[59;58;18;66],[82;58;18;66],[16;73;100;-1],[102;102;97;102],UP,[LEFT;LEFT;DOWN;RIGHT],[0;0;0;0],[0;0;0;0],730,3,152,,19,LEFT,,19,110
20,20,0,[-1;-1;-1;-1],[-1;-1;-1;-1],[85;28;137;-1],[-1;-1;-1;-1],LEFT,[NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[31;51;71;91],770,2,148,,20,DOWN,,20,140
21,21,0,[-1;-1;-1;-1],[-1;-1;-1;-1],[92;56;133;-1],[-1;-1;-1;-1],LEFT,[NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[3;23;43;63],840,2,141,,21,RIGHT,,21,100
22,22,0,[59;53;-1;-1],[59;75;-1;-1],[64;52;148;-1],[97;102;-1;-1],UP,[DOWN;RIGHT;NEUTRAL;NEUTRAL],[0;0;0;0],[0;0;15;35],910,2,134,,22,UP,,22,50
23,23,0,[83;53;-1;-1],[107;53;-1;-1],[76;40;149;-1],[1143;102;-1;-1],RIGHT,[LEFT;RIGHT;NEUTRAL;NEUTRAL],[0;0;0;0],[0;0;3;23],940,2,131,,23,DOWN,,23,40
24,24,0,[106;29;67;-1],[106;29;67;-1],[85;28;137;-1],[1143;102;97;-1],RIGHT,[DOWN;UP;LEFT;NEUTRAL],[0;0;0;0],[0;0;0;11],960,2,129,,24,RIGHT,,24,180
25,25,0,[82;29;74;71],[82;69;74;71],[73;16;125;-1],[1143;102;97;97],RIGHT,[LEFT;RIGHT;LEFT;LEFT],[0;0;0;0],[0;0;0;0],980,2,127,,25,UP,,25,160
26,26,0,[80;21;75;55],[80;21;75;55],[85;137;-1;-1],[1143;97;97;97],DOWN,[LEFT;LEFT;RIGHT;RIGHT],[163;163;163;163],[0;0;0;0],1140,2,116,,26,LEFT,,26,0
27,27,0,[86;39;71;61],[110;41;71;61],[76;149;-1;-1],[1143;97;97;97],LEFT,[LEFT;LEFT;RIGHT;RIGHT],[151;151;151;151],[0;0;0;0],1140,2,116,,27,LEFT,,27,30
28,28,0,[92;23;63;43],[92;23;63;43],[64;148;-1;-1],[1143;97;97;97],LEFT,[LEFT;LEFT;RIGHT;RIGHT],[139;139;139;139],[0;0;0;0],1140,2,116,,28,RIGHT,,28,60
29,29,0,[98;29;59;55],[115;99;59;79],[52;136;-1;-1],[1143;97;97;97],LEFT,[LEFT;LEFT;RIGHT;RIGHT],[127;127;127;127],[0;0;0;0],1170,2,113,,29,LEFT,,29,60
30,30,0,[104;35;75;73],[109;83;77;92],[40;124;-1;-1],[1143;97;97;97],LEFT,[LEFT;UP;RIGHT;RIGHT],[115;115;115;115],[0;0;0;0],1200,2,110,,30,RIGHT,,30,100
31,31,0,[103;41;71;74],[103;73;71;74],[28;112;-1;-1],[1143;97;97;97],LEFT,[UP;UP;RIGHT;RIGHT],[103;103;103;103],[0;0;0;0],1230,2,107,,31,DOWN,,31,130
32,32,0,[68;49;57;77],[68;49;57;77],[56;108;-1;-1],[1143;97;97;97],RIGHT,[LEFT;RIGHT;RIGHT;DOWN],[75;75;75;75],[0;0;0;0],1300,2,100,,32,UP,,32,60
33,33,0,[58;35;75;95],[58;35;75;95],[52;136;-1;-1],[97;97;97;1143],UP,[UP;RIGHT;RIGHT;DOWN],[47;47;47;47],[0;0;0;0],1360,2,94,,33,UP,,33,0
34,34,0,[40;29;59;89],[40;29;59;89],[64;148;-1;-1],[97;97;97;1143],RIGHT,[UP;RIGHT;UP;RIGHT],[35;35;35;35],[0;0;0;0],1360,2,94,,34,LEFT,,34,0
35,35,0,[46;23;41;83],[46;23;41;83],[76;149;-1;-1],[97;97;97;1143],RIGHT,[UP;RIGHT;UP;RIGHT],[23;23;23;23],[0;0;0;0],1360,2,94,,35,RIGHT,,35,0
36,36,0,[28;17;23;77],[28;17;23;77],[85;137;-1;-1],[97;97;97;1143],RIGHT,[UP;RIGHT;UP;RIGHT],[11;11;11;11],[0;0;0;0],1360,2,94,,36,RIGHT,,36,0
