
0,0,0,[-1;-1;-1;-1],[-1;-1;-1;-1],[153;128;88;28],[-1;-1;-1;-1],LEFT,[NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[21;41;61;81],50,3,215,,0,DOWN,,0,120
1,1,0,[-1;-1;-1;-1],[-1;-1;-1;-1],[165;140;76;40],[-1;-1;-1;-1],LEFT,[NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[9;29;49;69],80,3,212,,1,LEFT,,1,120
2,2,0,[111;143;-1;-1],[111;143;-1;-1],[140;165;40;76],[97;102;-1;-1],LEFT,[LEFT;RIGHT;NEUTRAL;NEUTRAL],[0;0;0;0],[0;0;13;33],170,3,203,,2,RIGHT,,2,90
3,3,0,[87;121;-1;-1],[87;121;-1;-1],[128;153;28;88],[97;102;-1;-1],LEFT,[LEFT;RIGHT;NEUTRAL;NEUTRAL],[0;0;0;0],[0;0;1;21],200,3,200,,3,UP,,3,90
4,4,0,[81;86;91;99],[81;86;91;99],[104;129;36;96],[97;102;102;97],UP,[LEFT;UP;DOWN;LEFT],[0;0;0;0],[0;0;0;0],260,3,194,,4,DOWN,,4,60
5,5,0,[105;110;77;75],[105;110;77;75],[116;141;48;84],[102;102;1148;97],RIGHT,[LEFT;UP;RIGHT;LEFT],[0;0;0;0],[0;0;0;0],290,3,191,,5,LEFT,,5,110
6,6,0,[100;121;91;93],[100;121;91;117],[128;140;60;72],[102;102;1148;97],RIGHT,[DOWN;UP;DOWN;UP],[0;0;0;0],[0;0;0;0],320,3,188,,6,DOWN,,6,80
7,7,0,[100;182;80;165],[100;182;80;165],[140;165;40;76],[1148;102;1143;97],DOWN,[DOWN;UP;RIGHT;RIGHT],[0;0;0;0],[0;0;0;0],400,3,180,,7,DOWN,,7,0
8,8,0,[52;188;125;141],[52;188;125;141],[165;140;76;40],[1148;97;1143;102],RIGHT,[DOWN;LEFT;RIGHT;DOWN],[0;0;0;0],[0;0;0;0],400,3,180,,8,LEFT,,8,420
9,9,0,[28;164;112;131],[28;164;112;131],[153;128;88;28],[1148;97;97;102],RIGHT,[RIGHT;DOWN;UP;LEFT],[0;0;0;0],[0;0;0;0],400,3,180,,9,RIGHT,,9,420
10,10,0,[105;123;90;129],[105;123;90;129],[128;140;60;-1],[102;97;97;102],LEFT,[RIGHT;LEFT;LEFT;UP],[0;127;127;127],[0;0;0;0],820,3,163,,10,RIGHT,,10,0
11,11,0,[87;105;72;123],[87;105;72;123],[116;141;48;-1],[102;97;97;102],LEFT,[RIGHT;LEFT;LEFT;UP],[0;115;115;115],[0;0;0;0],820,3,163,,11,DOWN,,11,30
12,12,0,[94;87;54;141],[94;87;54;141],[104;129;36;-1],[102;97;97;102],LEFT,[RIGHT;DOWN;DOWN;RIGHT],[0;103;103;103],[0;0;0;0],820,3,163,,12,RIGHT,,12,60
13,13,0,[76;69;36;126],[76;69;36;126],[92;117;24;-1],[102;97;97;102],LEFT,[UP;DOWN;DOWN;RIGHT],[0;91;91;91],[0;0;0;0],850,3,160,,13,UP,,13,510
14,14,0,[70;51;18;108],[70;51;18;108],[80;105;36;-1],[102;97;1143;102],UP,[RIGHT;DOWN;DOWN;RIGHT],[0;79;79;79],[0;0;0;0],880,3,157,,14,UP,,14,480
15,15,0,[-1;-1;-1;-1],[-1;-1;-1;-1],[128;140;60;-1],[-1;-1;-1;-1],LEFT,[NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[29;49;69;89],1360,2,149,,15,RIGHT,,15,0
