
0,0,0,[-1;-1;-1;-1],[-1;-1;-1;-1],[153;128;88;-1],[-1;-1;-1;-1],LEFT,[NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[7;27;47;67],130,3,212,,0,UP,,0,90
1,1,0,[85;-1;-1;-1],[85;-1;-1;-1],[129;104;96;-1],[102;-1;-1;-1],UP,[RIGHT;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[0;3;23;43],190,3,206,,1,RIGHT,,1,60
2,2,0,[61;81;-1;-1],[61;81;-1;-1],[117;92;97;-1],[102;102;-1;-1],RIGHT,[RIGHT;RIGHT;NEUTRAL;NEUTRAL],[0;0;0;0],[0;0;11;31],220,3,203,,2,UP,,2,60
3,3,0,[37;57;77;-1],[37;57;77;-1],[105;80;85;-1],[102;102;102;-1],UP,[RIGHT;RIGHT;RIGHT;NEUTRAL],[0;0;0;0],[0;0;0;19],250,3,200,,3,UP,,3,60
4,4,0,[13;33;53;-1],[13;33;53;-1],[93;68;73;-1],[102;102;102;-1],UP,[DOWN;RIGHT;RIGHT;NEUTRAL],[0;0;0;0],[0;0;0;7],280,3,197,,4,UP,,4,60
5,5,0,[-1;-1;-1;-1],[-1;-1;-1;-1],[92;117;24;-1],[-1;-1;-1;-1],LEFT,[NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[32;52;72;92],310,2,194,,5,UP,,5,60
6,6,0,[-1;-1;-1;-1],[-1;-1;-1;-1],[80;105;36;-1],[-1;-1;-1;-1],UP,[NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[20;40;60;80],340,2,191,,6,UP,,6,90
7,7,0,[-1;-1;-1;-1],[-1;-1;-1;-1],[68;93;48;-1],[-1;-1;-1;-1],UP,[NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[8;28;48;68],370,2,188,,7,UP,,7,90
8,8,0,[58;-1;-1;-1],[58;-1;-1;-1],[44;69;72;-1],[102;-1;-1;-1],UP,[RIGHT;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[0;4;24;44],430,2,182,,8,UP,,8,70
9,9,0,[51;46;-1;-1],[51;78;-1;-1],[32;57;84;-1],[102;97;-1;-1],UP,[RIGHT;LEFT;NEUTRAL;NEUTRAL],[0;0;0;0],[0;0;12;32],460,2,179,,9,UP,,9,70
10,10,0,[55;46;66;-1],[114;58;66;-1],[16;73;100;-1],[102;97;97;-1],UP,[DOWN;LEFT;LEFT;NEUTRAL],[0;0;0;0],[0;0;0;16],500,2,175,,10,RIGHT,,10,100
11,11,0,[79;46;42;-1],[114;58;42;-1],[28;85;112;-1],[102;97;97;-1],RIGHT,[DOWN;LEFT;LEFT;NEUTRAL],[0;0;0;0],[0;0;0;4],530,2,172,,11,DOWN,,11,140
12,12,0,[103;46;38;18],[103;58;38;18],[56;92;108;-1],[102;97;97;97],RIGHT,[DOWN;UP;UP;LEFT],[0;0;0;0],[0;0;0;0],600,2,165,,12,RIGHT,,12,100
13,13,0,[126;54;38;54],[126;54;38;54],[52;64;136;-1],[1143;97;97;97],UP,[LEFT;RIGHT;LEFT;UP],[0;0;0;0],[0;0;0;0],670,2,158,,13,LEFT,,13,50
14,14,0,[146;30;38;30],[146;30;38;30],[40;76;124;-1],[1143;97;97;97],LEFT,[LEFT;RIGHT;UP;UP],[0;0;0;0],[0;0;0;0],700,2,155,,14,LEFT,,14,20
15,15,0,[126;6;26;18],[126;6;26;46],[28;85;112;-1],[1143;97;97;97],LEFT,[LEFT;DOWN;RIGHT;LEFT],[0;0;0;0],[0;0;0;0],720,2,153,,15,UP,,15,0
16,16,0,[-1;-1;-1;-1],[-1;-1;-1;-1],[116;104;96;-1],[-1;-1;-1;-1],UP,[NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[25;45;65;85],720,1,153,,16,UP,,16,0
17,17,0,[-1;-1;-1;-1],[-1;-1;-1;-1],[105;80;109;-1],[-1;-1;-1;-1],UP,[NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[1;21;41;61],720,1,153,,17,UP,,17,0
18,18,0,[29;-1;-1;-1],[29;-1;-1;-1],[93;68;121;-1],[97;-1;-1;-1],UP,[LEFT;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[0;9;29;49],720,1,153,,18,LEFT,,18,0
19,19,0,[-1;-1;-1;-1],[-1;-1;-1;-1],[80;105;36;85],[-1;-1;-1;-1],DOWN,[NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[37;57;77;97],10,3,219,,19,NEUTRAL,,19,60
20,20,0,[-1;-1;-1;-1],[-1;-1;-1;-1],[92;117;24;97],[-1;-1;-1;-1],DOWN,[NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[25;45;65;85],40,3,216,,20,NEUTRAL,,20,60
21,21,0,[-1;-1;-1;-1],[-1;-1;-1;-1],[104;129;36;96],[-1;-1;-1;-1],RIGHT,[NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[13;33;53;73],70,3,213,,21,NEUTRAL,,21,60
22,22,0,[-1;-1;-1;-1],[-1;-1;-1;-1],[116;141;48;84],[-1;-1;-1;-1],RIGHT,[NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[1;21;41;61],100,3,210,,22,UP,,22,30
23,23,0,[67;-1;-1;-1],[67;-1;-1;-1],[104;129;60;96],[97;-1;-1;-1],UP,[LEFT;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[0;9;29;49],130,3,207,,23,RIGHT,,23,0
24,24,0,[53;39;-1;-1],[53;39;-1;-1],[104;116;84;96],[97;97;-1;-1],UP,[LEFT;LEFT;NEUTRAL;NEUTRAL],[0;0;0;0],[0;0;5;25],130,3,207,,24,LEFT,,24,0
25,25,0,[53;33;49;-1],[53;33;49;-1],[80;105;84;109],[97;97;102;-1],UP,[UP;LEFT;RIGHT;NEUTRAL],[0;0;0;0],[0;0;0;1],130,3,207,,25,UP,,25,0
26,26,0,[51;33;49;29],[51;33;49;29],[68;93;96;121],[97;97;102;102],UP,[RIGHT;DOWN;RIGHT;RIGHT],[0;0;0;0],[0;0;0;0],130,3,207,,26,RIGHT,,26,0
27,27,0,[51;94;49;29],[51;94;49;29],[93;68;121;96],[97;1143;1148;102],RIGHT,[RIGHT;DOWN;DOWN;UP],[0;0;0;0],[0;0;0;0],130,3,207,,27,DOWN,,27,0
28,28,0,[53;87;49;53],[123;87;49;77],[105;80;109;84],[102;1143;1148;102],DOWN,[RIGHT;RIGHT;DOWN;UP],[0;0;0;0],[0;0;0;0],130,3,207,,28,UP,,28,10
29,29,0,[77;57;73;77],[123;57;73;123],[116;104;96;84],[102;1143;1148;102],LEFT,[RIGHT;RIGHT;DOWN;LEFT],[0;0;0;0],[0;0;0;0],130,3,207,,29,DOWN,,29,40
30,30,0,[101;15;63;101],[101;15;63;125],[129;104;96;60],[102;1148;1148;102],RIGHT,[UP;RIGHT;LEFT;LEFT],[0;0;0;0],[0;0;0;0],140,3,206,,30,DOWN,,30,60
31,31,0,[125;9;39;125],[125;9;39;149],[141;116;84;48],[102;1148;1148;97],DOWN,[LEFT;RIGHT;LEFT;LEFT],[0;0;0;0],[0;0;0;0],170,3,203,,31,DOWN,,31,60
32,32,0,[115;9;33;136],[115;9;33;136],[129;104;96;36],[102;1148;1148;97],RIGHT,[LEFT;RIGHT;LEFT;LEFT],[0;0;0;0],[0;0;0;0],200,3,200,,32,RIGHT,,32,400
33,33,0,[91;9;57;112],[91;9;73;112],[117;92;97;24],[102;1148;1148;97],RIGHT,[DOWN;DOWN;LEFT;LEFT],[0;0;0;0],[0;0;0;0],230,3,197,,33,RIGHT,,33,400
34,34,0,[129;-1;29;140],[129;-1;29;140],[153;128;88;-1],[102;-1;1143;97],LEFT,[UP;NEUTRAL;RIGHT;RIGHT],[171;0;171;171],[0;14;0;0],600,3,185,,34,LEFT,,34,520
35,35,0,[137;-1;11;158],[161;-1;11;169],[165;140;76;-1],[102;-1;1143;97],LEFT,[UP;NEUTRAL;RIGHT;RIGHT],[159;0;159;159],[0;2;0;0],630,3,182,,35,LEFT,,35,580
36,36,0,[180;104;-1;151],[180;104;-1;151],[140;165;40;-1],[102;97;-1;97],LEFT,[RIGHT;LEFT;NEUTRAL;RIGHT],[123;0;0;123],[0;0;9;0],1120,3,173,,36,UP,,36,110
37,37,0,[139;56;105;133],[139;56;105;133],[128;140;60;-1],[102;1143;102;102],UP,[DOWN;DOWN;RIGHT;RIGHT],[87;0;0;87],[0;0;0;0],1210,3,164,,37,LEFT,,37,20
38,38,0,[134;32;100;127],[134;32;100;127],[116;141;48;-1],[102;1143;102;102],LEFT,[DOWN;DOWN;RIGHT;RIGHT],[75;0;0;75],[0;0;0;0],1230,3,162,,38,LEFT,,38,0
39,39,0,[116;16;76;140],[116;16;76;140],[104;129;36;-1],[102;1143;102;102],LEFT,[LEFT;LEFT;DOWN;RIGHT],[63;0;0;63],[0;0;0;0],1230,3,162,,39,LEFT,,39,370
40,40,0,[104;16;52;122],[104;16;52;122],[92;117;24;-1],[102;1143;102;102],LEFT,[LEFT;DOWN;DOWN;RIGHT],[51;0;0;51],[0;0;0;0],1230,3,162,,40,LEFT,,40,420
41,41,0,[137;-1;90;161],[137;-1;90;161],[128;153;-1;-1],[102;-1;102;102],RIGHT,[RIGHT;NEUTRAL;UP;LEFT],[171;0;171;171],[0;19;0;0],1600,3,150,,41,UP,,41,50
42,42,0,[125;97;68;136],[125;97;68;136],[104;129;-1;-1],[102;97;102;102],UP,[UP;LEFT;UP;LEFT],[147;0;147;147],[0;0;0;0],1650,3,145,,42,LEFT,,42,0
43,43,0,[119;73;62;118],[119;73;62;118],[92;117;-1;-1],[102;97;102;97],LEFT,[UP;LEFT;UP;LEFT],[135;0;135;135],[0;0;0;0],1650,3,145,,43,UP,,43,30
